ID,Project Name,Master Community,Launch Year,Start Price,Appreciation,Developer,Area,Unit Type,Community Type,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Service Charge,PPSM,Rental Yield %,File1 Appreciation,DXB Travel Time,DWC Travel Time,Downtown Travel Time,Marina Travel Time,Appreciation_Clean_%,Price_Segment,Projected_CAGR_24_26,Price_Vs_Community_Avg_%,Project_Stage
1,Binghatti Heights,JVC,2020,650000,35%,Binghatti Developers,Jumeirah Village Circle,Apartments,Gated Residential,650000,680000,750000,820000,877500,,,12,850,6.2,35,23m,29m,22m,18m,35,Affordable,,,Completed 2023
2,Binghatti Emerald,JVC,2021,720000,32%,Binghatti Developers,Jumeirah Village Circle,Apartments/Offices,Mixed-Use,720000,750000,820000,900000,950400,,,13,920,6.5,32,23m,29m,22m,18m,32,Affordable,,,Completed 2024
3,Binghatti Corner,JVC,2021,680000,30%,Binghatti Developers,Jumeirah Village Circle,Apartments,Gated Residential,680000,710000,780000,850000,884000,,,12,900,6.3,30,23m,29m,22m,18m,30,Affordable,,,Completed 2024
4,Binghatti House,JVC,2023,570000,25%,Binghatti Developers,Jumeirah Village Circle,Apartments/Offices,Mixed-Use,,,570000,620000,650000,712500,,12,880,6.4,25,23m,29m,22m,18m,25,Affordable,,,Completed 2024
5,Waves,Sobha Hartland,2021,1800000,42%,Sobha Realty,Mohammed Bin Rashid City,Apartments,Waterfront/Luxury,1800000,1950000,2100000,2340000,2556000,,,18,1650,5.8,42,20m,35m,12m,25m,42,Luxury,,,Completed 2023
6,Hartland Greens 1,Sobha Hartland,2015,1200000,65%,Sobha Realty,Mohammed Bin Rashid City,Apartments,Waterfront,1200000,1350000,1500000,1680000,1920000,1980000,,16,1400,6.2,65,20m,35m,12m,25m,65,Mid-Range,,,Completed 2018
7,Hartland Greens 2,Sobha Hartland,2016,1250000,62%,Sobha Realty,Mohammed Bin Rashid City,Apartments,Waterfront,1250000,1400000,1550000,1725000,1975000,2025000,,16,1420,6.1,62,20m,35m,12m,25m,62,Mid-Range,,,Completed 2019
8,Hartland Greens 3,Sobha Hartland,2015,1200000,63%,Sobha Realty,Mohammed Bin Rashid City,Apartments,Waterfront,1200000,1350000,1500000,1680000,1920000,1956000,,16,1400,6.2,63,20m,35m,12m,25m,63,Mid-Range,,,Completed 2018
9,Hartland Greens 4,Sobha Hartland,2016,1250000,60%,Sobha Realty,Mohammed Bin Rashid City,Apartments,Waterfront,1250000,1400000,1550000,1725000,1950000,2000000,,16,1420,6.1,60,20m,35m,12m,25m,60,Mid-Range,,,Completed 2019
10,Quad Homes Phase 1,Sobha Hartland,2016,2500000,58%,Sobha Realty,Mohammed Bin Rashid City,Townhouses,Waterfront/Gated,2500000,2800000,3100000,3450000,3850000,3950000,,20,1550,5.5,58,20m,35m,12m,25m,58,Luxury,,,Completed 2018
11,Waves Grande,Sobha Hartland,2022,2200000,38%,Sobha Realty,Mohammed Bin Rashid City,Apartments,Waterfront/Luxury,,,2200000,2420000,2860000,3036000,,18,1680,5.7,38,20m,35m,12m,25m,38,Luxury,,,Completed 2023
12,Hartland Greens 5,Sobha Hartland,2019,1350000,45%,Sobha Realty,Mohammed Bin Rashid City,Apartments,Waterfront,,,1350000,1500000,1890000,1957500,,16,1450,6.0,45,20m,35m,12m,25m,45,Mid-Range,,,Completed 2021
